user_id,hero_id,id,num_games,num_wins,kda_ratio,primary_attr,attack_type,base_health_regen,base_armor,base_magic_resistance,base_attack_min,base_attack_max,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,attack_range,projectile_speed,attack_rate,move_speed,turn_rate,Carry,Escape,Nuker,Initiator,Durable,Disabler,Jungler,Support,Pusher
1,74,1_74,304,185,3743.6997318999997,int,Ranged,1.5,-1.0,25,19,25,16,14,16,2.2,1.9,4.0,600,900,1.7,280,0.5,1,1,1,0,0,1,0,0,1
1,65,1_65,255,151,4009.0215128,int,Ranged,3.25,0.0,25,14,18,23,15,24,2.7,1.5,2.5,375,900,1.7,290,1.0,0,1,0,1,0,1,1,0,0
1,39,1_39,203,135,5094.6215139,int,Ranged,1.5,-1.0,25,21,29,16,18,24,2.0,2.0,2.5,550,1500,1.5,295,0.5,1,1,1,0,0,0,0,0,0
1,106,1_106,158,106,4619.212962899999,agi,Melee,2.0,-2.0,25,30,34,19,22,20,2.1,1.8,1.8,150,900,1.7,305,0.5,1,1,1,1,0,1,0,0,0
1,2,1_2,157,94,2871.627907,str,Melee,4.25,-1.0,25,24,28,25,20,18,2.8,2.2,1.6,150,900,1.7,290,0.6,0,0,0,1,1,1,1,0,0
1,46,1_46,154,103,3533.3333333000005,agi,Ranged,1.5,1.0,25,30,36,18,23,20,2.4,2.3,2.0,140,900,1.7,300,0.7,1,1,0,0,0,0,0,0,0
1,51,1_51,128,78,3635.7786358000003,str,Melee,1.5,0.0,25,28,30,26,13,17,3.2,2.3,1.3,150,900,1.7,315,0.6,0,0,1,1,1,1,0,0,0
1,17,1_17,118,75,3732.9192547,int,Ranged,1.5,2.0,25,22,32,19,22,24,1.8,1.5,3.0,480,1100,1.7,285,0.8,1,1,1,1,0,1,0,0,0
1,69,1_69,116,65,3477.3413897,str,Melee,1.5,-1.0,25,27,43,26,11,13,3.5,0.9,2.1,150,900,2.0,290,0.5,1,0,1,1,1,1,0,0,0
2,74,2_74,657,362,3061.0596341,int,Ranged,1.5,-1.0,25,19,25,16,14,16,2.2,1.9,4.0,600,900,1.7,280,0.5,1,1,1,0,0,1,0,0,1
2,8,2_8,493,256,2712.1680049,agi,Melee,2.0,0.0,25,22,26,20,26,14,2.2,2.4,1.4,150,0,1.4,295,0.6,1,1,0,0,0,0,0,0,1
2,11,2_11,487,229,2664.801343,agi,Ranged,1.75,-2.0,25,15,21,15,20,18,2.3,2.9,2.0,500,1200,1.7,310,1.0,1,0,1,0,0,0,0,0,0
2,52,2_52,386,240,3007.8311202,int,Ranged,1.5,0.0,25,15,19,16,23,26,1.8,1.7,3.0,600,900,1.7,325,0.5,1,0,1,0,0,1,0,1,1
2,73,2_73,241,123,2615.625,str,Melee,1.5,0.0,25,24,33,25,16,25,2.1,1.2,1.8,150,900,1.7,295,0.6,1,0,1,1,1,1,0,1,0
2,70,2_70,218,134,3032.2156476,agi,Melee,2.0,3.0,25,24,28,23,18,16,3.0,2.1,1.5,150,900,1.7,305,0.5,1,0,0,0,1,1,1,0,0
2,39,2_39,205,106,3035.9897171999996,int,Ranged,1.5,-1.0,25,21,29,16,18,24,2.0,2.0,2.5,550,1500,1.5,295,0.5,1,1,1,0,0,0,0,0,0
2,18,2_18,195,113,2974.1824441,str,Melee,1.5,2.0,25,41,43,23,21,16,3.0,2.0,1.3,150,0,1.8,290,0.6,1,0,1,1,1,1,0,0,0
2,76,2_76,172,85,2617.2624237,int,Ranged,1.5,0.5,25,14,29,19,24,26,2.6,2.0,2.7,450,900,1.7,315,0.5,1,0,1,0,0,1,0,0,0
5,74,5_74,276,160,3899.4082841,int,Ranged,1.5,-1.0,25,19,25,16,14,16,2.2,1.9,4.0,600,900,1.7,280,0.5,1,1,1,0,0,1,0,0,1
5,46,5_46,251,162,3785.1307189000004,agi,Ranged,1.5,1.0,25,30,36,18,23,20,2.4,2.3,2.0,140,900,1.7,300,0.7,1,1,0,0,0,0,0,0,0
5,1,5_1,240,145,5032.2147651000005,agi,Melee,1.5,-1.0,25,27,31,22,22,12,1.3,2.8,1.8,150,0,1.45,310,0.5,1,1,1,0,0,0,0,0,0
5,93,5_93,237,137,4661.1740474,agi,Melee,1.5,-1.0,25,33,41,20,21,16,1.9,1.5,1.7,150,0,1.7,295,0.5,1,1,1,0,0,1,0,0,0
5,8,5_8,224,116,3817.8010471000002,agi,Melee,2.0,0.0,25,22,26,20,26,14,2.2,2.4,1.4,150,0,1.4,295,0.6,1,1,0,0,0,0,0,0,1
5,17,5_17,212,122,3698.9335521,int,Ranged,1.5,2.0,25,22,32,19,22,24,1.8,1.5,3.0,480,1100,1.7,285,0.8,1,1,1,1,0,1,0,0,0
5,11,5_11,196,100,2917.8321678,agi,Ranged,1.75,-2.0,25,15,21,15,20,18,2.3,2.9,2.0,500,1200,1.7,310,1.0,1,0,1,0,0,0,0,0,0
5,109,5_109,176,105,4221.5657312,agi,Melee,3.25,7.0,25,26,32,15,22,19,1.7,3.2,1.6,150,900,1.5,310,0.5,1,0,1,0,0,0,0,0,1
5,10,5_10,167,106,5712.3287672,agi,Ranged,1.5,-2.0,25,9,18,19,24,13,2.3,3.7,1.1,350,1300,1.5,280,0.6,1,1,1,0,1,1,0,0,0
6,74,6_74,295,166,3802.3019634999996,int,Ranged,1.5,-1.0,25,19,25,16,14,16,2.2,1.9,4.0,600,900,1.7,280,0.5,1,1,1,0,0,1,0,0,1
6,53,6_53,293,152,3383.6784409999996,int,Ranged,1.5,1.0,25,30,44,19,18,25,2.1,1.9,2.9,600,1125,1.7,290,0.6,1,1,1,0,0,0,1,0,1
